sourceId,behaviorId,disposition,rationale,owner
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/analysis-framework.md:L170","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/analysis-framework.md:L33","behavior:electron-windows-dialogs-deep-links-security-process-lifecycle-packaging","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/analysis-framework.md:L39","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/layouts/dense-modules.md:L21","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/layouts/linear-progression.md:L46","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/structured-content-template.md:L232","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/structured-content-template.md:L32","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/styles/ikea-manual.md:L1","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/styles/pop-laboratory.md:L3","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/references/styles/pop-laboratory.md:L36","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/SKILL.md:L79","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/baoyu-infographic/SKILL.md:L94","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/claude-design/SKILL.md:L202","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/claude-design/SKILL.md:L28","behavior:electron-windows-dialogs-deep-links-security-process-lifecycle-packaging","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/claude-design/SKILL.md:L30","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/claude-design/SKILL.md:L535","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/claude-design/SKILL.md:L580","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/customize-rhythm/SKILL.md:L126","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/customize-rhythm/SKILL.md:L197","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/design-md/SKILL.md:L147","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/design-md/SKILL.md:L3","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/document-creation/SKILL.md:L31","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/anti-patterns.md:L305","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/assets.md:L152","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/assets.md:L399","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/color.md:L62","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/custom-craft.md:L309","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/custom-theme.md:L132","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/interaction-and-states.md:L60","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/interaction-and-states.md:L66","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/macrostructures.md:L61","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/microinteractions.md:L124","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/responsive.md:L17","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/slop-test.md:L119","behavior:mobile-pairing-cloud-gateway","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/slop-test.md:L123","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/themes/hum.md:L219","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/references/verbs/audit.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/SKILL.md:L137","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/SKILL.md:L160","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/hallmark/SKILL.md:L79","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/SKILL.md:L86","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/airbnb.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/airtable.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/apple.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/bmw.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/cal.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/cal.md:L268","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/claude.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/clay.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/clickhouse.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/cohere.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/coinbase.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/composio.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/composio.md:L50","behavior:mcp-skills-commands","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/cursor.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/elevenlabs.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/expo.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/figma.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/framer.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/framer.md:L256","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/hashicorp.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/ibm.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/intercom.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/kraken.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/linear.app.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/lovable.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/minimax.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/mintlify.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/miro.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/mistral.ai.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/mongodb.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/notion.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/nvidia.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/ollama.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/opencode.ai.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/pinterest.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/posthog.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/posthog.md:L265","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/raycast.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/raycast.md:L278","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/replicate.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/resend.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/revolut.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/runwayml.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/sanity.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/sentry.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/spacex.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/spotify.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/stripe.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/supabase.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/superhuman.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/superhuman.md:L261","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/together.ai.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/uber.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/vercel.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/voltagent.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/warp.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/warp.md:L262","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/webflow.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/wise.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/config_seeds/skills/popular-web-designs/templates/x.ai.md:L14","behavior:mcp-skills-commands","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
